SETTLEMENTDATE,TOTALDEMAND
15/03/2019 5:30,7317.77
15/03/2019 6:00,7745.81
15/03/2019 6:30,8046.59
15/03/2019 7:00,8284.6
15/03/2019 7:30,8367.99
15/03/2019 8:00,8320.06
15/03/2019 8:30,8336.66
15/03/2019 9:00,8343.19
15/03/2019 9:30,8392.33
15/03/2019 10:00,8330.3
15/03/2019 10:30,8267.15
15/03/2019 11:00,8275.85
15/03/2019 11:30,8306.4
15/03/2019 12:00,8219.13
15/03/2019 12:30,8150.6
15/03/2019 13:00,8069.97
15/03/2019 13:30,7965.44
15/03/2019 14:00,7942.87
15/03/2019 14:30,7933.4
15/03/2019 15:00,8037.63
15/03/2019 15:30,8118.15
15/03/2019 16:00,8161.81
15/03/2019 16:30,8135.79
15/03/2019 17:00,8206.88
15/03/2019 17:30,8110.99
15/03/2019 18:00,8128.04
15/03/2019 18:30,8101.88
15/03/2019 19:00,8184.46
15/03/2019 19:30,8129.59
15/03/2019 20:00,7997.11
15/03/2019 20:30,7820.94
15/03/2019 21:00,7611.32
15/03/2019 21:30,7558.08
15/03/2019 22:00,7467.32
15/03/2019 22:30,7110.26
15/03/2019 23:00,7096.34
15/03/2019 23:30,7268.16
16/03/2019 0:00,7177.52
16/03/2019 0:30,6984
16/03/2019 1:00,6762.43
16/03/2019 1:30,6455.59
16/03/2019 2:00,6195.1
16/03/2019 2:30,6042
16/03/2019 3:00,5997.74
16/03/2019 3:30,5959.59
16/03/2019 4:00,5990.31
16/03/2019 4:30,6096.06
16/03/2019 5:00,6199.77
16/03/2019 5:30,6372.22
16/03/2019 6:00,6543.19
16/03/2019 6:30,6738
16/03/2019 7:00,7031.35
16/03/2019 7:30,7263.5
16/03/2019 8:00,7458.5
16/03/2019 8:30,7684.46
16/03/2019 9:00,7710.65
16/03/2019 9:30,7728.98
16/03/2019 10:00,7640.9
16/03/2019 10:30,7561.79
16/03/2019 11:00,7541.34
16/03/2019 11:30,7426.53
16/03/2019 12:00,7404.56
16/03/2019 12:30,7303.38
16/03/2019 13:00,7322.15
16/03/2019 13:30,7245.48
16/03/2019 14:00,7280.27
16/03/2019 14:30,7369.18
16/03/2019 15:00,7446.57
16/03/2019 15:30,7503.89
16/03/2019 16:00,7603.74
16/03/2019 16:30,7611.05
16/03/2019 17:00,7711.62
16/03/2019 17:30,7806
16/03/2019 18:00,7821.56
16/03/2019 18:30,7845.57
16/03/2019 19:00,7908.1
16/03/2019 19:30,7751.84
16/03/2019 20:00,7596.79
16/03/2019 20:30,7472.75
16/03/2019 21:00,7387.28
16/03/2019 21:30,7325.52
16/03/2019 22:00,7264.54
16/03/2019 22:30,7263.22
16/03/2019 23:00,7063.7
16/03/2019 23:30,6900.53
17/03/2019 0:00,6780.06
17/03/2019 0:30,6666.58
17/03/2019 1:00,6545.41
17/03/2019 1:30,6279.34
17/03/2019 2:00,6080.18
17/03/2019 2:30,5993.98
17/03/2019 3:00,5946.87
17/03/2019 3:30,5904.82
17/03/2019 4:00,5863.48
17/03/2019 4:30,5922.36
17/03/2019 5:00,6021.5
17/03/2019 5:30,6159.38
17/03/2019 6:00,6297.65
17/03/2019 6:30,6503.78
17/03/2019 7:00,6697.02
17/03/2019 7:30,6977.41
17/03/2019 8:00,7211.54
17/03/2019 8:30,7447.1
17/03/2019 9:00,7592.01
17/03/2019 9:30,7690.76
17/03/2019 10:00,7665.75
17/03/2019 10:30,7707.62
17/03/2019 11:00,7677.29
17/03/2019 11:30,7603.64
17/03/2019 12:00,7577.67
17/03/2019 12:30,7529.41
17/03/2019 13:00,7454.15
17/03/2019 13:30,7421.31
17/03/2019 14:00,7432.44
17/03/2019 14:30,7434.82
17/03/2019 15:00,7423.29
17/03/2019 15:30,7492.16
17/03/2019 16:00,7615.1
17/03/2019 16:30,7713.67
17/03/2019 17:00,7893.46
17/03/2019 17:30,8020.49
17/03/2019 18:00,8074.18
17/03/2019 18:30,8060.54
17/03/2019 19:00,8048.63
17/03/2019 19:30,7884.91
17/03/2019 20:00,7720.75
17/03/2019 20:30,7565.06
17/03/2019 21:00,7333.73
17/03/2019 21:30,7228.86
17/03/2019 22:00,7117.35
17/03/2019 22:30,7133.74
17/03/2019 23:00,6948.63
17/03/2019 23:30,6806.79
18/03/2019 0:00,6701.31
18/03/2019 0:30,6571.76
18/03/2019 1:00,6396.92
18/03/2019 1:30,6169.7
18/03/2019 2:00,5948.94
18/03/2019 2:30,5886.63
18/03/2019 3:00,5850.42
18/03/2019 3:30,5934.43
18/03/2019 4:00,5968.09
18/03/2019 4:30,6220.14
18/03/2019 5:00,6514.59
18/03/2019 5:30,7056.01
18/03/2019 6:00,7577.51
18/03/2019 6:30,7974.67
18/03/2019 7:00,8189.27
18/03/2019 7:30,8258.31
18/03/2019 8:00,8167.48
18/03/2019 8:30,8169.32
18/03/2019 9:00,8229.58
18/03/2019 9:30,8228.28
18/03/2019 10:00,8185.02
18/03/2019 10:30,8079.64
18/03/2019 11:00,8018.27
18/03/2019 11:30,7931.41
18/03/2019 12:00,7963.31
18/03/2019 12:30,8045.01
18/03/2019 13:00,8119.2
18/03/2019 13:30,8101.91
18/03/2019 14:00,8102.79
18/03/2019 14:30,8118.36
18/03/2019 15:00,8218.41
18/03/2019 15:30,8350.15
18/03/2019 16:00,8475.4
18/03/2019 16:30,8581.14
18/03/2019 17:00,8749.23
18/03/2019 17:30,8697.65
18/03/2019 18:00,8744.95
18/03/2019 18:30,8666.76
18/03/2019 19:00,8640.39
18/03/2019 19:30,8380.76
18/03/2019 20:00,8205.13
18/03/2019 20:30,7990.65
18/03/2019 21:00,7770.84
18/03/2019 21:30,7653.64
18/03/2019 22:00,7506.79
18/03/2019 22:30,7557.07
18/03/2019 23:00,7440.54
18/03/2019 23:30,7288.37
19/03/2019 0:00,7213.93
19/03/2019 0:30,7051.33
19/03/2019 1:00,6898.68
19/03/2019 1:30,6574.98
19/03/2019 2:00,6329.47
19/03/2019 2:30,6187.23
19/03/2019 3:00,6114.3
